"State","Hospital.name","Establishment.ID","Medicare.Provider.No.","Local.Hospital.Network.identifier","Local.Hospital.Network","Address.Line.1","Address.Line.2","asgc_ra","Remoteness.area","Number.of.available.beds","X2012.13.Peer.Group.code","Peer.Group.Name","Provided.data.for.NPHED","Provided.data.for.NHMD","Provided.data.for.NAPEDCD","Provided.data.for.ESWT","Provided.data.for.NNAPCD","IHPA.funding.designation","full_address","lat","lon","geo_address"
"ACT","Calvary Health Care Bruce","810000083","3531230T",801,"Australian Capital Territory","1 Hayden                                        Dr","Bruce                                                  2617",0,"Major Cities",303,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","1 Hayden Dr Bruce 2617",-35.242,149.077,"bruce act 2617, australia"
"ACT","Canberra Hospital","810000082","0090030B",801,"Australian Capital Territory","Yamba                                         Dr","Garran                                                 2605",0,"Major Cities",781,"PR","Principal referral","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","Yamba Dr Garran 2605",-35.3435228,149.0980784,"yamba dr, garran act 2605, australia"
"ACT","QEII Family Centre","810000084","0090020F",801,"Australian Capital Territory","129 Carruthers                                    St","Curtin                                                 2605",0,"Major Cities",26,"O1","Early parenting centres","Yes","No","No","No","No","Block-funded hospital","129 Carruthers St Curtin 2605",-35.323324,149.0791434,"health centre, 129 carruthers st, curtin act 2605, australia"
"NSW","Armidale","1180J2010","0010570T",109,"Hunter New England","226 Rusden                                        St","Armidale                                               2350",1,"Inner Regional",94,"M","Public acute group B","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","226 Rusden St Armidale 2350",-30.5123893,151.6565704,"226 rusden st, armidale nsw 2350, australia"
"NSW","Auburn","1174D2010","0010020A",104,"Western Sydney","18 Hargrave                                      Rd","Auburn                                                 2144",0,"Major Cities",124.2,"M","Public acute group B","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","18 Hargrave Rd Auburn 2144",-33.8602688,151.0333545,"18 hargrave rd, auburn nsw 2144, australia"
"NSW","Ballina","1181H2010","0010580L",111,"Northern NSW","78 Cherry                                        St","Ballina                                                2478",1,"Inner Regional",71.3,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","78 Cherry St Ballina 2478",-28.8631822,153.5644351,"78 cherry st, ballina nsw 2478, australia"
"NSW","Balmain","1170A2010","0010030Y",102,"Sydney","29 Booth                                         St","Balmain                                                2041",0,"Major Cities",63.6,"S2","Public acute group D","Yes","Yes","No","No","Yes","Activity-based funded hospital","29 Booth St Balmain 2041",-33.8594808,151.1815001,"balmain hospital, 29 booth st, balmain nsw 2041, australia"
"NSW","Balranald (MPS)","1186M2020","0010590K",115,"Far West","41 Court                                         St","Balranald                                              2715",2,"Outer Regional",23.9,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","41 Court St Balranald 2715",-34.645108,143.569428,"41 court st, balranald nsw 2715, australia"
"NSW","Bankstown/ Lidcombe","1171D2270","0010040X",103,"South Western Sydney","68 Eldridge                                      Rd","Bankstown                                              2200",0,"Major Cities",388.3,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","68 Eldridge Rd Bankstown 2200",-33.9324129,151.0215742,"68 eldridge rd, bankstown nsw 2200, australia"
"NSW","Baradine (MPS)","1185K2070","0011030L",112,"Western NSW","5 Darling                                       St","Baradine                                               2396",3,"Remote",18,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","5 Darling St Baradine 2396",-30.9443022,149.067414,"5 darling st, baradine nsw 2396, australia"
